"expense_id","user_id","transaction_date","amount","currency","category","subcategory","description","merchant_name","payment_method","is_business_expense","receipt_available","project_code","address_street","address_city","address_state","address_postal_code","address_country","created_at","updated_at"
"EXP153","USR-KP8UR1VD","2024-03-07","425.3","GBP","Office Supplies","Furniture","Office chair and standing desk purchased for London branch.","Staples London","bank_transfer","true","true","OFFC-2024","42 Oxford St","London","ENG","W1D1BS","GB","2024-03-07T09:24:43Z","2024-03-07T12:03:17Z"
"EXP154","USR-EY7MC6PL","2023-11-26","24.99","CAD","Entertainment","Streaming","Monthly subscription for Netflix paid via debit card.","Netflix Canada","debit_card","false","true","","200 Wellington St W","Toronto","ON","M5V3C7","CA","2023-11-26T17:45:00Z",""
"EXP155","USR-HW6J0VQZ","2022-08-18","0.99","USD","Utilities","Internet","Micro transaction for test internet fee.","Test ISP","other","false","false","","","","","","","2022-08-18T08:00:11Z",""
"EXP156","USR-XB2V4RLC","2023-09-13","1050","EUR","Travel","Hotel","Hotel accommodation for conference, Berlin.","Hilton Berlin","credit_card","true","true","CONF-2023","Mohrenstraße 30","Berlin","BE","10117","DE","2023-09-13T19:19:45Z","2023-09-13T20:33:29Z"
"EXP157","USR-LQ3B1H8S","2024-01-12","14.5","CHF","Food","Cafe","Coffee and croissant at Zurich airport.","Cafe Zurich","cash","false","false","","Flughafenstrasse 45","Zurich","ZH","8058","CH","2024-01-12T07:05:32Z",""
"EXP158","USR-DN2F7WXM","2023-07-03","213.1","JPY","Transportation","Taxi","Taxi fare from Tokyo station to hotel.","Tokyo Cab Co.","mobile_payment","true","true","JAPN-2023","1-9-1 Marunouchi","Tokyo","TK","100-0005","JP","2023-07-03T12:15:27Z","2023-07-03T13:00:55Z"
"EXP159","USR-MC7J3FRP","2024-04-02","69.99","USD","Entertainment","Concert","Ticket for live music concert in Austin.","Live Nation Austin","credit_card","false","true","","320 E 6th St","Austin","TX","78701","US","2024-04-02T18:14:39Z","2024-04-02T19:02:17Z"
"EXP160","USR-VB1K8ZQW","2023-10-28","135","EUR","Healthcare","Clinic","Annual physical checkup at Vienna Medical Clinic.","Vienna Medical Clinic","check","true","true","HLTH-2023","Landstraße 88","Vienna","W","1030","AT","2023-10-28T10:22:50Z","2023-10-28T11:40:21Z"
"EXP161","USR-NK6X4YPL","2023-03-05","0.01","USD","Other","Refund","Test refund for micro transaction.","MicroPay Test","other","false","false","","","","","","","2023-03-05T04:33:00Z",""
"EXP162","USR-GH4T7WKB","2024-05-06","25000","EUR","Other","Donation","Corporate donation to European Cancer Foundation.","European Cancer Foundation","bank_transfer","true","true","DON-2024","Rue de la Loi 155","Brussels","BRU","1040","BE","2024-05-06T10:35:13Z","2024-05-06T11:12:56Z"
"EXP163","USR-JY3Q8VHS","2023-11-20","52.3","BRL","Healthcare","Pharmacy","Prescription medicine from Sao Paulo pharmacy.","Farmacia Paulista","credit_card","false","true","","Av. Paulista 999","Sao Paulo","SP","01311-000","BR","2023-11-20T15:45:09Z","2023-11-20T16:03:12Z"
"EXP164","USR-RP5M2YKH","2024-06-01","179.25","USD","Transportation","Train","Amtrak ticket from New York to Washington D.C.","Amtrak","bank_transfer","true","true","TRNS-2024","Penn Station","New York","NY","10121","US","2024-06-01T08:22:31Z","2024-06-01T08:55:39Z"
"EXP165","USR-WJ8Q1NXL","2023-05-30","83.4","CAD","Utilities","Electricity","Monthly electricity bill for apartment.","Toronto Hydro","debit_card","false","false","","14 King St W","Toronto","ON","M5H1A1","CA","2023-05-30T20:00:48Z",""
"EXP166","USR-XM2W9QYG","2023-12-02","1890","JPY","Travel","Flight","Business flight Tokyo to Osaka for team meeting.","ANA Airlines","mobile_payment","true","true","JPN-2023","1-1 Hanedakuko","Tokyo","TK","144-0041","JP","2023-12-02T12:55:18Z","2023-12-02T14:20:07Z"
"EXP167","USR-ZK1B3XLT","2024-05-18","24.5","CHF","Food","Restaurant","Dinner at Swiss Chalet, Geneva.","Swiss Chalet","credit_card","false","true","","Rue du Mont-Blanc 5","Geneva","GE","1201","CH","2024-05-18T19:16:07Z","2024-05-18T19:33:21Z"
"EXP168","USR-FB9C2DLY","2023-11-01","69.9","USD","Food","Restaurant","Team lunch at Olive Garden, San Francisco.","Olive Garden SF","debit_card","false","false","","100 Market St","San Francisco","CA","94111","US","2023-11-01T13:02:52Z",""
"EXP169","USR-JF2T8RCZ","2024-03-21","115.75","GBP","Travel","Train","Train ticket London to Manchester for conference.","Virgin Trains","credit_card","true","true","CONF-2024","Euston Rd","London","ENG","NW12RT","GB","2024-03-21T08:30:11Z","2024-03-21T09:10:13Z"
"EXP170","USR-AD8M5LWK","2024-02-07","0","AUD","Other","Refund","Cancellation fee refund at local restaurant.","Sydney Eats","cash","false","false","","","","","","","2024-02-07T10:41:32Z",""
"EXP171","USR-SB9T6JXR","2023-09-27","1332.4","EUR","Travel","Flight","Flight from Paris to Rome for annual business review.","Air France","bank_transfer","true","true","BUSR-2023","Aeroport Charles de Gaulle","Paris","IDF","95700","FR","2023-09-27T16:45:00Z","2023-09-27T17:11:34Z"
"EXP172","USR-YC2G7JXL","2024-03-16","75.8","CHF","Utilities","Internet","Internet service bill for Zurich residence.","Swisscom","credit_card","false","true","","Binzstrasse 15","Zurich","ZH","8045","CH","2024-03-16T10:22:45Z","2024-03-16T10:45:19Z"
"EXP173","USR-TD4L6PQS","2023-10-05","329","USD","Office Supplies","Printer Supplies","Printer ink and paper for office.","Office Depot","check","true","true","PRINT-2023","58 Market St","San Diego","CA","92101","US","2023-10-05T13:48:22Z","2023-10-05T14:57:20Z"
"EXP174","USR-FQ5E3KPM","2024-04-05","19.95","CAD","Entertainment","Streaming","Monthly Disney+ subscription.","Disney+ Canada","debit_card","false","false","","101 Richmond St W","Toronto","ON","M5H2K1","CA","2024-04-05T20:30:00Z",""
"EXP175","USR-HN9V2QBL","2023-08-20","88.65","USD","Food","Restaurant","Dinner at The Capital Grille, New York.","The Capital Grille","credit_card","false","true","","155 E 42nd St","New York","NY","10017","US","2023-08-20T19:35:55Z","2023-08-20T20:17:14Z"
"EXP176","USR-LB6N4RXP","2024-01-15","252","GBP","Education","Workshop","Online workshop fee for advanced Excel.","Excel Mastery UK","bank_transfer","true","true","EDU-2024","5 Queen St","Manchester","ENG","M25FX","GB","2024-01-15T14:22:00Z","2024-01-15T15:01:39Z"
"EXP177","USR-DQ2K7RBN","2024-05-22","0","CHF","Other","Refund","Refund for monthly public transport pass.","Swiss Railways","other","false","false","","","","","","","2024-05-22T08:03:44Z",""
"EXP178","USR-MP7W2XKL","2023-07-29","119.5","EUR","Transportation","Taxi","Taxi fare from Munich airport to city center.","Munich Taxi","mobile_payment","true","true","GER-2023","Terminalstrasse Mitte","Munich","BY","85356","DE","2023-07-29T15:21:08Z","2023-07-29T16:04:19Z"
"EXP179","USR-EB2L9QZW","2023-12-03","29.99","USD","Food","Restaurant","Lunch at Chipotle, Seattle.","Chipotle Seattle","cash","false","false","","401 Pine St","Seattle","WA","98101","US","2023-12-03T13:14:50Z",""
"EXP180","USR-NQ8R7WXS","2024-04-11","10500","USD","Other","Donation","Large charity donation to Save The Children, US.","Save The Children US","bank_transfer","true","true","CHAR-2024","501 Kings Hwy","Fairfield","CT","06825","US","2024-04-11T11:07:22Z","2024-04-11T11:55:11Z"
"EXP181","USR-QL4M3VHZ","2023-06-21","275.5","USD","Healthcare","Clinic","Specialist appointment at Mayo Clinic.","Mayo Clinic","check","true","true","HLTH-2023","200 1st St SW","Rochester","MN","55905","US","2023-06-21T09:45:05Z","2023-06-21T10:03:44Z"
"EXP182","USR-OK5J3WML","2024-05-09","38.4","AUD","Food","Cafe","Breakfast at The Grounds, Sydney.","The Grounds","credit_card","false","true","","7A The Crescent","Sydney","NSW","2008","AU","2024-05-09T08:52:44Z","2024-05-09T09:10:21Z"
"EXP183","USR-JU9E3MVK","2023-09-18","18.95","CAD","Food","Restaurant","Lunch at St-Hubert, Montreal.","St-Hubert","debit_card","false","true","","1050 Rue Saint-Catherine","Montreal","QC","H3B1E2","CA","2023-09-18T12:27:31Z",""
"EXP184","USR-UL2B1CJS","2023-10-11","98.35","USD","Utilities","Internet","Monthly home internet bill.","Comcast","credit_card","false","true","","1701 JFK Blvd","Philadelphia","PA","19103","US","2023-10-11T19:05:00Z","2023-10-11T19:27:14Z"
"EXP185","USR-AP4M2VLE","2024-02-17","59.8","BRL","Food","Restaurant","Dinner at Churrascaria, Rio de Janeiro.","Churrascaria Rio","credit_card","false","true","","Av. Atlântica 1702","Rio de Janeiro","RJ","22021-001","BR","2024-02-17T20:45:21Z","2024-02-17T21:09:14Z"
"EXP186","USR-WL7Q9FJM","2023-06-04","540.2","USD","Office Supplies","Printer Supplies","Bulk printer paper for main office.","Staples SF","check","true","true","OFFC-2023","701 Mission St","San Francisco","CA","94103","US","2023-06-04T13:40:44Z","2023-06-04T14:50:11Z"
"EXP187","USR-QD8K6MLP","2023-12-10","0","CAD","Other","Refund","Refund for overcharged mobile bill.","Bell Mobility","cash","false","false","","","","","","","2023-12-10T11:05:32Z",""
"EXP188","USR-MQ4B2JXN","2024-02-22","420","BRL","Office Supplies","Furniture","Office furniture purchased for Sao Paulo branch.","Tok&Stok","bank_transfer","true","true","BR-2024","Av. Rebouças 3970","Sao Paulo","SP","05402-600","BR","2024-02-22T12:21:41Z","2024-02-22T13:00:12Z"
"EXP189","USR-HL6F2JWP","2023-06-29","17.95","CHF","Food","Cafe","Coffee and sandwich at Lausanne station.","Lausanne Cafe","cash","false","false","","Place de la Gare","Lausanne","VD","1003","CH","2023-06-29T09:31:05Z",""
"EXP190","USR-KJ3P9DQL","2024-01-25","125","GBP","Healthcare","Clinic","Dental checkup at London Dental Center.","London Dental Center","check","true","true","HLTH-2024","75 Marylebone Rd","London","ENG","NW15PU","GB","2024-01-25T11:12:05Z","2024-01-25T11:45:00Z"
"EXP191","USR-PQ2E5LFW","2023-09-02","39.6","AUD","Food","Cafe","Coffee break at Little Collins, Melbourne.","Little Collins","credit_card","false","true","","20 Collins St","Melbourne","VIC","3000","AU","2023-09-02T10:00:00Z","2023-09-02T10:37:29Z"
"EXP192","USR-DJ8K6QPL","2023-10-14","89.95","USD","Utilities","Electricity","Monthly electricity bill paid via debit card.","Pacific Gas & Electric","debit_card","false","false","","77 Beale St","San Francisco","CA","94105","US","2023-10-14T14:19:00Z",""
"EXP193","USR-QM1F2PLX","2024-03-23","1500","JPY","Travel","Hotel","Business hotel stay for Osaka conference.","Osaka Grand Hotel","bank_transfer","true","true","CONF-2024","2-3-18 Minami","Osaka","OS","542-0076","JP","2024-03-23T18:11:00Z","2024-03-23T18:52:19Z"
"EXP194","USR-TN9L3QMW","2024-05-28","72.8","CHF","Utilities","Internet","Monthly internet bill for Geneva office.","Sunrise Communications","credit_card","false","true","","Rue du Rhône 96","Geneva","GE","1204","CH","2024-05-28T12:30:00Z","2024-05-28T13:15:44Z"
"EXP195","USR-ZV6J3HLC","2023-08-09","780.6","USD","Office Supplies","Furniture","L-shaped desk for executive office.","Wayfair Business","bank_transfer","true","true","EXEC-2023","4 Copley Pl","Boston","MA","02116","US","2023-08-09T09:08:41Z","2023-08-09T09:40:30Z"
"EXP196","USR-MN3J6QPV","2024-02-02","41.75","AUD","Food","Cafe","Brunch at Bill’s, Sydney.","Bill's Sydney","debit_card","false","true","","433 Liverpool St","Sydney","NSW","2010","AU","2024-02-02T11:24:00Z",""
"EXP197","USR-XQ9F2JML","2023-09-11","59.9","CAD","Entertainment","Streaming","Spotify premium subscription, Montreal.","Spotify","debit_card","false","true","","1500 Boulevard Maisonneuve","Montreal","QC","H3G1N1","CA","2023-09-11T21:09:00Z","2023-09-11T21:42:43Z"
"EXP198","USR-KV2J6PMQ","2024-04-29","0.01","GBP","Other","Refund","Refund for test micro payment.","TestPay UK","other","false","false","","","","","","","2024-04-29T10:12:51Z",""
"EXP199","USR-HJ3V2PLM","2023-11-17","49.25","USD","Food","Restaurant","Lunch at Shake Shack, Chicago.","Shake Shack Chicago","cash","false","false","","66 W Grand Ave","Chicago","IL","60654","US","2023-11-17T13:45:32Z",""
"EXP100","USR-F6T7K8Q2","2024-04-01","152.75","USD","Travel","Flight","Round-trip flight from Dallas to New York for client meeting.","SkyJet Airways","credit_card","true","true","CODE-2024A","2550 Airport Blvd","Dallas","TX","75235","US","2024-04-01T10:30:35Z","2024-04-01T11:52:15Z"
"EXP101","USR-A2X9C4V1","2024-04-03","36.25","USD","Food","Restaurant","Business lunch at The Capital Grill with regional manager.","The Capital Grill","credit_card","true","true","CODE-2024B","500 Main Street","Houston","TX","77002","US","2024-04-03T13:15:22Z","2024-04-03T13:55:42Z"
"EXP102","USR-P2L7D6S3","2024-03-30","9.99","USD","Entertainment","Streaming","Monthly subscription to Netflix for home entertainment.","Netflix Inc","debit_card","false","false","","100 Winchester Cir","Los Gatos","CA","95032","US","2024-03-30T19:13:18Z",""
"EXP103","USR-W9Q7R5T2","2024-03-28","84.5","CAD","Utilities","Internet","Monthly internet bill for home address.","Rogers Communications","debit_card","false","true","","333 Bloor St E","Toronto","ON","M4W1G9","CA","2024-03-28T07:35:56Z","2024-03-28T08:17:29Z"
"EXP104","USR-H2M8K4J5","2024-02-29","0","USD","Other","Refund","Refund for canceled gym membership.","FitNation Gym","bank_transfer","false","false","","4205 Oak Lawn Ave","Dallas","TX","75219","US","2024-02-29T09:44:01Z",""
"EXP105","USR-Q8N3T5U1","2024-04-04","122.45","EUR","Travel","Train","Train ticket for Paris to Frankfurt business trip.","SNCF Voyages","credit_card","true","true","CODE-2024C","18 Rue de Dunkerque","Paris","IDF","75010","FR","2024-04-04T08:51:46Z","2024-04-04T09:27:11Z"
"EXP106","USR-L7D5B3F9","2023-12-20","15.85","AUD","Food","Cafe","Coffee and croissant at The Bean House.","The Bean House","cash","false","false","","42 Queen St","Brisbane","QLD","4000","AU","2023-12-20T08:12:23Z",""
"EXP107","USR-V5S8M2C7","2024-03-29","251","GBP","Transportation","Taxi","Taxi fare from Heathrow to office for client visit.","London Cab Co","mobile_payment","true","true","CODE-2024D","110 Piccadilly","London","ENG","W1J7PY","GB","2024-03-29T16:22:40Z","2024-03-29T16:45:13Z"
"EXP108","USR-N1E4U9T3","2024-04-02","38.9","CHF","Utilities","Electricity","Monthly electricity bill for Geneva apartment.","SwissPower","bank_transfer","false","true","","8 Rue du Mont-Blanc","Geneva","GE","1201","CH","2024-04-02T09:00:45Z","2024-04-02T09:41:29Z"
"EXP109","USR-E1C3B5F7","2024-04-05","2100","USD","Education","Workshop","Registration fee for advanced data science workshop.","DataPro Institute","bank_transfer","true","true","CODE-2024E","200 Tech Lane","Boston","MA","02110","US","2024-04-05T10:25:59Z","2024-04-05T10:47:32Z"
"EXP110","USR-K7R5V2H8","2024-03-24","19.5","USD","Food","Restaurant","Dinner at Luigi’s Italian with friends.","Luigi’s Italian","cash","false","false","","13 Broadway","New York","NY","10004","US","2024-03-24T19:10:46Z",""
"EXP111","USR-M2A4B8N6","2024-04-06","45","USD","Entertainment","Concert","Ticket for local jazz concert.","Jazz Club NY","debit_card","false","true","","44 W 56th St","New York","NY","10019","US","2024-04-06T20:21:50Z","2024-04-06T21:05:32Z"
"EXP112","USR-S7O2Z4D9","2024-03-27","67.85","GBP","Healthcare","Pharmacy","Prescription medicine for allergy relief.","Boots Pharmacy","check","false","true","","150 Oxford St","London","ENG","W1D1BS","GB","2024-03-27T15:00:00Z","2024-03-27T15:47:23Z"
"EXP113","USR-T8E4L2R5","2024-03-25","124.99","EUR","Office Supplies","Printer Supplies","Purchase of toner cartridges for office printer.","Office Depot DE","credit_card","true","true","CODE-2024F","45 Berliner Strasse","Berlin","BE","10117","DE","2024-03-25T09:42:19Z","2024-03-25T10:23:44Z"
"EXP114","USR-X9L3J8T2","2024-04-07","59.99","CHF","Entertainment","Streaming","Annual subscription for Swiss TV streaming.","SwissTV AG","credit_card","false","false","","21 Bahnhofstrasse","Zurich","ZH","8001","CH","2024-04-07T12:45:38Z",""
"EXP115","USR-G6V8D4T1","2023-11-19","0.01","AUD","Other","Refund","Micro refund from previous transaction error.","OzPay Refunds","other","false","false","","","","","","","2023-11-19T05:17:25Z",""
"EXP116","USR-B3K6P9D7","2024-04-08","342.1","USD","Healthcare","Clinic","Annual medical checkup at City Clinic.","City Clinic","debit_card","false","true","","1200 Main St","Chicago","IL","60605","US","2024-04-08T10:10:16Z","2024-04-08T10:40:29Z"
"EXP117","USR-U9A7M5K3","2024-04-06","14","CAD","Food","Cafe","Lunch with colleagues at Morning Brew.","Morning Brew Cafe","cash","false","false","","25 Granville St","Vancouver","BC","V6C1V3","CA","2024-04-06T13:33:02Z",""
"EXP118","USR-F3H7Q2W9","2024-03-31","10500","EUR","Other","Donation","Charitable donation to Save the Children Fund.","Save the Children","bank_transfer","true","true","CODE-2024G","12 Rue du Rhône","Geneva","GE","1204","CH","2024-03-31T17:22:47Z","2024-03-31T18:55:41Z"
"EXP119","USR-N6T2J5V8","2024-04-09","58.65","GBP","Transportation","Train","Train ticket from Manchester to London for workshop.","National Rail UK","credit_card","true","true","CODE-2024H","1 Piccadilly","Manchester","ENG","M12AE","GB","2024-04-09T07:01:12Z","2024-04-09T07:29:03Z"
"EXP120","USR-J8Y2L5K7","2024-04-07","89.99","CHF","Utilities","Internet","High-speed internet monthly payment.","Swisscom","debit_card","false","true","","100 Alpenstrasse","Bern","BE","3000","CH","2024-04-07T08:20:16Z","2024-04-07T08:47:55Z"
"EXP121","USR-M7D2P8F5","2024-03-20","0.99","GBP","Other","Refund","Refund for duplicate charge at bookstore.","Waterstones Refunds","other","false","false","","","","","","","2024-03-20T11:09:37Z",""
"EXP122","USR-Q1J6L8V2","2023-10-25","17","USD","Food","Restaurant","Lunch at Burger Palace with coworkers.","Burger Palace","credit_card","false","true","","500 Elm St","Minneapolis","MN","55414","US","2023-10-25T12:01:00Z","2023-10-25T12:40:12Z"
"EXP123","USR-R5B7K2T9","2024-04-10","300","USD","Office Supplies","Furniture","Purchase of new ergonomic office chair.","Staples Office US","check","true","true","CODE-2024I","2300 Market St","Philadelphia","PA","19103","US","2024-04-10T14:23:45Z","2024-04-10T15:01:02Z"
"EXP124","USR-Y7P2C5M4","2024-02-12","48.5","BRL","Healthcare","Clinic","Dental cleaning at Smile Clinic.","Smile Clinic BR","bank_transfer","false","true","","88 Av Paulista","Sao Paulo","SP","01310-000","BR","2024-02-12T09:57:33Z","2024-02-12T10:23:28Z"
"EXP125","USR-W1E4R8D7","2024-04-11","125.75","USD","Travel","Flight","Flight to Miami for annual sales conference.","Delta Airlines","credit_card","true","true","CODE-2024J","2100 NW 42nd Ave","Miami","FL","33126","US","2024-04-11T07:45:09Z","2024-04-11T08:27:12Z"
"EXP126","USR-V3Q7F2H1","2024-04-12","22","AUD","Food","Restaurant","Dinner at Outback Steakhouse.","Outback Steakhouse","debit_card","false","true","","100 Market St","Sydney","NSW","2000","AU","2024-04-12T19:45:33Z","2024-04-12T20:16:40Z"
"EXP127","USR-D8K2A4L5","2024-03-30","0","CHF","Other","Refund","Refund for overpayment of utilities bill.","Geneva Utilities","other","false","false","","","","","","","2024-03-30T11:25:10Z",""
"EXP128","USR-E5C2S9M8","2024-04-13","185","GBP","Office Supplies","Furniture","Office desk for new employee workspace.","OfficeWorld UK","bank_transfer","true","true","CODE-2024K","240 Regent St","London","ENG","W1B3BR","GB","2024-04-13T09:31:42Z","2024-04-13T10:03:17Z"
"EXP129","USR-P1R6C5L3","2024-04-14","8.75","CAD","Food","Cafe","Coffee and muffin at Tim Hortons.","Tim Hortons","cash","false","false","","250 Yonge St","Toronto","ON","M5B2L7","CA","2024-04-14T08:15:29Z",""
"EXP130","USR-J3T5A8V6","2024-04-15","49.9","USD","Entertainment","Concert","Ticket for live music event.","Music Hall Events","debit_card","false","true","","90 Main St","Seattle","WA","98101","US","2024-04-15T18:22:05Z","2024-04-15T18:49:32Z"
"EXP131","USR-M8C4L6S2","2024-03-22","0","BRL","Other","Refund","Refund for canceled appointment.","Sao Paulo Clinic","cash","false","false","","","","","","","2024-03-22T14:15:16Z",""
"EXP132","USR-T2N4M5B8","2024-04-16","67.3","USD","Healthcare","Pharmacy","Over-the-counter medicine at CVS Pharmacy.","CVS Pharmacy","debit_card","false","true","","35 W 23rd St","New York","NY","10010","US","2024-04-16T12:30:01Z","2024-04-16T13:05:47Z"
"EXP133","USR-E6T9K3J2","2024-03-18","1440","EUR","Travel","Flight","International flight for corporate retreat.","Lufthansa","credit_card","true","true","CODE-2024L","605 Airport Ave","Frankfurt","HE","60549","DE","2024-03-18T10:15:29Z","2024-03-18T11:05:34Z"
"EXP134","USR-Y4M6C2V1","2024-04-17","23.2","CAD","Utilities","Internet","Monthly internet charge from Bell Canada.","Bell Canada","debit_card","false","true","","1 Alexander St","Ottawa","ON","K1N8S6","CA","2024-04-17T08:22:44Z","2024-04-17T08:50:10Z"
"EXP135","USR-F7B3T2V8","2024-04-18","75","USD","Office Supplies","Printer Supplies","Printer ink cartridges for remote office.","BestBuy US","credit_card","true","true","CODE-2024M","2000 Commerce Ave","Atlanta","GA","30303","US","2024-04-18T09:32:19Z","2024-04-18T10:10:27Z"
"EXP136","USR-G2P5D7K9","2024-04-19","24.9","CHF","Food","Restaurant","Swiss lunch at Alpenrose.","Alpenrose Restaurant","debit_card","false","true","","20 Bergstrasse","Zurich","ZH","8002","CH","2024-04-19T12:18:22Z","2024-04-19T12:42:35Z"
"EXP137","USR-L9T4J6B3","2024-04-20","0.01","USD","Other","Refund","Refund for duplicate transaction.","RefundPro US","other","false","false","","","","","","","2024-04-20T10:07:17Z",""
"EXP138","USR-D3V6M2L8","2024-04-21","176.9","GBP","Travel","Flight","Flight to Edinburgh for business conference.","British Airways","credit_card","true","true","CODE-2024N","34 Heathrow Rd","London","ENG","TW62GA","GB","2024-04-21T07:55:33Z","2024-04-21T08:22:10Z"
"EXP139","USR-B7F3K9C2","2024-04-22","99","USD","Healthcare","Pharmacy","Prescription refill at Walgreens.","Walgreens US","debit_card","false","true","","1201 S Main St","St. Louis","MO","63104","US","2024-04-22T14:28:19Z","2024-04-22T14:51:37Z"
"EXP140","USR-H9M2C3K7","2024-04-23","220","EUR","Office Supplies","Furniture","Office table for new workspace.","Möbelhaus Berlin","bank_transfer","true","true","CODE-2024O","60 Friedrichstrasse","Berlin","BE","10117","DE","2024-04-23T10:52:37Z","2024-04-23T11:28:59Z"
"EXP141","USR-K4D9A7P1","2024-04-24","14.5","CAD","Food","Cafe","Coffee at Second Cup.","Second Cup","cash","false","false","","200 King St","Toronto","ON","M5H3T4","CA","2024-04-24T09:01:12Z",""
"EXP142","USR-P8C4L2A7","2024-04-25","10","AUD","Entertainment","Streaming","Monthly subscription to Stan Australia.","Stan Australia","credit_card","false","false","","123 Pitt St","Sydney","NSW","2000","AU","2024-04-25T18:41:05Z",""
"EXP143","USR-T3J7K6M2","2024-04-26","175.99","USD","Travel","Train","Amtrak ticket for cross-country trip.","Amtrak US","credit_card","true","true","CODE-2024P","250 6th Ave","San Francisco","CA","94103","US","2024-04-26T09:34:22Z","2024-04-26T10:02:18Z"
"EXP144","USR-F2K9P7L3","2024-04-27","60.2","CHF","Utilities","Electricity","Monthly electricity bill for Lausanne flat.","Lausanne Power","bank_transfer","false","true","","50 Rue Centrale","Lausanne","VD","1003","CH","2024-04-27T08:17:56Z","2024-04-27T08:58:43Z"
"EXP145","USR-S4J2B8N6","2024-04-28","39.99","GBP","Entertainment","Concert","Concert ticket for London Symphony.","London Symphony","debit_card","false","true","","Barbican Centre","London","ENG","EC2Y8DS","GB","2024-04-28T19:45:12Z","2024-04-28T20:10:43Z"
"EXP146","USR-H3B7M6K2","2024-04-29","48500","USD","Other","Donation","Large charitable donation to NY Community Foundation.","NY Community Foundation","bank_transfer","true","true","CODE-2024Q","1275 Broadway","New York","NY","10001","US","2024-04-29T15:28:59Z","2024-04-29T16:45:13Z"
"EXP147","USR-J5K8N2M6","2024-04-30","22","CAD","Utilities","Internet","Monthly internet payment to Shaw.","Shaw Communications","debit_card","false","true","","900 Burrard St","Vancouver","BC","V6Z3G5","CA","2024-04-30T08:12:01Z","2024-04-30T08:41:57Z"
"EXP148","USR-N8M3P2L4","2024-04-30","0","USD","Other","Refund","Refund for returned item at BestBuy.","BestBuy Refunds","other","false","false","","","","","","","2024-04-30T10:20:41Z",""
"EXP149","USR-R2L7M5Q8","2024-04-11","61.25","GBP","Healthcare","Clinic","Physiotherapy session at London Clinic.","London Clinic","bank_transfer","false","true","","10 Harley St","London","ENG","W1G9PF","GB","2024-04-11T09:32:52Z","2024-04-11T10:10:33Z"
"EXP001","USR-XJ4P9LQK","2024-02-29","0","USD","Other","Refund","Refund processed for cancelled online order on leap day.","Baxter Online Mart","other","false","false","","","","","","","2024-02-29T15:10:22Z",""
"EXP002","USR-NV8T7ZFC","2023-11-18","89.5","CAD","Food","Restaurant","Lunch at Maple Leaf Diner with client, tip included.","Maple Leaf Diner","credit_card","true","true","CODE-2023","120 Queen St W","Toronto","ON","M5H 2N2","CA","2023-11-18T13:22:31Z","2023-11-18T13:41:02Z"
"EXP003","USR-GS5R4KWM","2024-06-05","1399.99","EUR","Office Supplies","Furniture","Ergonomic office chair for new workspace setup in Berlin office.","ErgoFurnish Berlin","bank_transfer","true","true","PROJ-2024B","Alexanderplatz 5","Berlin","BE","10178","DE","2024-06-05T09:42:11Z","2024-06-05T10:07:34Z"
"EXP004","USR-QW8H2VJM","2023-09-03","27.25","AUD","Entertainment","Streaming","Monthly subscription for streaming service renewal.","AussieStream Media","debit_card","false","true","","200 Pitt St","Sydney","NSW","2000","AU","2023-09-03T10:46:39Z","2023-09-03T11:03:19Z"